x,finite_constitutive_shift_Pa,wide_box_interface_shift_Pa,difference_Pa
1.300000000000000044e-01,2.092721597794110266e+00,2.196622813137324215e+00,-1.039012153432139485e-01
2.137755832643195020e-01,2.094163093724048963e+00,2.165243743098159257e+00,-7.108064937411029405e-02
2.729468812791235877e-01,2.092689334780615695e+00,2.134070053830569691e+00,-4.138071904995399564e-02
3.214031735997639472e-01,2.087345026663314229e+00,2.103212720427450222e+00,-1.586769376413599275e-02
3.634556369077249771e-01,2.079310263935951753e+00,2.071912250521009469e+00,7.398013414942283816e-03
4.011234224026315465e-01,2.068710649448874506e+00,2.040214739096683161e+00,2.849591035219134483e-02
4.355456348076513495e-01,2.055878439764356358e+00,2.008250521355989804e+00,4.762791840836655410e-02
4.674398357008097138e-01,2.039800504204890785e+00,1.975912584511050341e+00,6.388791969384044478e-02
4.972926703662542414e-01,2.017664085223188408e+00,1.944597189341948251e+00,7.306689588124015700e-02
5.254521862167860213e-01,1.994901275316905753e+00,1.913599018564028142e+00,8.130225675287761078e-02
5.521775076911409341e-01,1.973232345390812270e+00,1.880263084918198047e+00,9.296926047261422354e-02
5.776677245614472156e-01,1.940049583491017415e+00,1.848853737494181360e+00,9.119584599683605575e-02
6.020797289396148111e-01,1.910788195604155248e+00,1.817261102845577625e+00,9.352709275857762350e-02
6.255397669213365042e-01,1.876766757299051847e+00,1.784207289416499975e+00,9.255946788255187130e-02
6.481512169239520560e-01,1.837618275030209247e+00,1.753278822071663967e+00,8.433945295854528013e-02
6.699999999999999289e-01,1.801700709087114660e+00,1.719447925620386286e+00,8.225278346672837415e-02
6.911584478250989427e-01,1.753984164655818745e+00,1.688368366560595746e+00,6.561579809522299911e-02
7.116881339463233536e-01,1.714576485088016966e+00,1.654502896505718468e+00,6.007358858229849830e-02
7.316419889536137644e-01,1.660063010125554683e+00,1.623726856605188118e+00,3.633615352036656532e-02
7.510659092250159263e-01,1.615872122198965144e+00,1.589348917243455617e+00,2.652320495550952728e-02
7.699999999999999067e-01,1.560723491825967812e+00,1.557859052184696225e+00,2.864439641271587789e-03
7.884795495128582576e-01,1.510125027055536862e+00,1.523356629667489415e+00,-1.323160261195255316e-02
8.065358020571684605e-01,1.461776134927063708e+00,1.489648364934765823e+00,-2.787223000770211456e-02
8.241965784932621109e-01,1.403883184714132426e+00,1.453558577794439088e+00,-4.967539308030666234e-02
8.414867794564570014e-01,1.370801777633531060e+00,1.411784944996185232e+00,-4.098316736265417148e-02
