x,constitutive_scaled,beta_r_log,beta_theta_log,beta_z_log
1.300000000000000044e-01,2.117265651260725967e+00,-1.012584757843018712e+00,9.182260345156011416e-01,5.411017169909448477e+00
2.137755832643195020e-01,2.118746054838534842e+00,-1.012349780303009261e+00,9.192449734101965086e-01,5.298432031406276721e+00
2.729468812791235877e-01,2.117309005486175622e+00,-1.013320080872273543e+00,9.202298532903308015e-01,5.185042283583188194e+00
3.214031735997639472e-01,2.111997220123821961e+00,-1.013485362930675038e+00,9.212561939771425346e-01,5.073601903921381329e+00
3.634556369077249771e-01,2.103988294056123198e+00,-1.013643649921911916e+00,9.222721801843893896e-01,4.960671792754437703e+00
4.011234224026315465e-01,2.093408289631218278e+00,-1.013770207847979776e+00,9.232819603312949486e-01,4.846416167319039126e+00
4.355456348076513495e-01,2.080590500676001930e+00,-1.013854895332355621e+00,9.242881733911761932e-01,4.731289526223133812e+00
4.674398357008097138e-01,2.064516436498715191e+00,-1.012056130265669429e+00,9.253354244905411807e-01,4.617171017400181654e+00
4.972926703662542414e-01,2.042358144568285905e+00,-1.011955142131766960e+00,9.263834028857210745e-01,4.504268405292032540e+00
5.254521862167860213e-01,2.019577830950178843e+00,-1.014251660668441080e+00,9.273572675226361417e-01,4.389543262028819726e+00
5.521775076911409341e-01,1.997899930578192151e+00,-1.012041513217735389e+00,9.283943629047829438e-01,4.272492850505273942e+00
5.776677245614472156e-01,1.964625505190814136e+00,-1.011892057852513238e+00,9.294546096416678171e-01,4.159180431310157466e+00
6.020797289396148111e-01,1.935326882150152361e+00,-1.014497919566041739e+00,9.304088567745794069e-01,4.041967916696385998e+00
6.255397669213365042e-01,1.901219110022160930e+00,-1.011946783326357124e+00,9.314835469980263793e-01,3.926069982119359647e+00
6.481512169239520560e-01,1.861949499338836578e+00,-1.014747020570095914e+00,9.324408770822985026e-01,3.810753228261118508e+00
6.699999999999999289e-01,1.825956902044579611e+00,-1.011983729430546042e+00,9.335113068046571039e-01,3.692425144626896749e+00
6.911584478250989427e-01,1.778019819163985327e+00,-1.013531799839155312e+00,9.343708341364891368e-01,3.578242368858872258e+00
7.116881339463233536e-01,1.738536500272626739e+00,-1.012009773658949507e+00,9.354855729073119353e-01,3.458025609905685194e+00
7.316419889536137644e-01,1.683703372270353826e+00,-1.015206975169589354e+00,9.361092067505518699e-01,3.342870458428079949e+00
7.510659092250159263e-01,1.639396256843146604e+00,-1.011954816893640308e+00,9.373050989283697731e-01,3.222928384407693692e+00
7.699999999999999067e-01,1.583848907337348511e+00,-1.015034106146464943e+00,9.364554580869003386e-01,3.106730865975566580e+00
7.884795495128582576e-01,1.533011173820421069e+00,-1.011047568690878418e+00,9.377755774165622560e-01,2.986933151157840083e+00
8.065358020571684605e-01,1.484262897557893757e+00,-1.012979530799646311e+00,9.357959972710939711e-01,2.865304786631938772e+00
8.241965784932621109e-01,1.425721185260382384e+00,-1.006927244055251913e+00,9.355833946164526793e-01,2.743795209313864447e+00
8.414867794564570014e-01,1.392748394938221779e+00,-1.001340020669964526e+00,9.297305801176517503e-01,2.607640016659746429e+00
