x,beta_r_log,beta_theta_log,beta_z_log,full,c080,c082,c084,c086,c088,c090
1.300000000000000044e-01,-3.258862621180469432e-01,8.104410032672149100e-01,2.201753915187509847e+00,8.272928491237507842e-01,1.396383591156791226e-01,1.578813943581280910e-01,1.782802651462134236e-01,2.020549139558625029e-01,2.291961649802942702e-01,2.615069709577255708e-01
2.137755832643195020e-01,-3.252596663116946729e-01,8.102479411320473446e-01,2.168208149697647968e+00,8.301924245301961491e-01,1.422519977722913609e-01,1.604986694303534023e-01,1.809073391711990553e-01,2.046903266261779208e-01,2.318442952287114167e-01,2.641665403757542663e-01
2.729468812791235877e-01,-3.236184200261504884e-01,8.100691589163488970e-01,2.134142995373622398e+00,8.327873447910860705e-01,1.445757523299562308e-01,1.628284591959072714e-01,1.832355606268265547e-01,2.070225913541889895e-01,2.341930292004690273e-01,2.665293642678534525e-01
3.214031735997639472e-01,-3.233350295772652316e-01,8.098308450144031667e-01,2.099370272077294430e+00,8.352661693322716019e-01,1.468138465554602590e-01,1.650484243498340220e-01,1.854499802789177920e-01,2.092378677787110064e-01,2.364088749118309352e-01,2.687553946145726513e-01
3.634556369077249771e-01,-3.223778516314723674e-01,8.096282672909183020e-01,2.065591272355504771e+00,8.368314568940604659e-01,1.482359104443276010e-01,1.664164967962733499e-01,1.867858317439186067e-01,2.105654023409897491e-01,2.377333380820800812e-01,2.700885428907895403e-01
4.011234224026315465e-01,-3.213933564438775647e-01,8.094113995582574717e-01,2.031343084922809794e+00,8.383021487645692105e-01,1.497217519386140339e-01,1.677971881974826829e-01,1.880948806842752674e-01,2.118221037505918503e-01,2.389670906666196970e-01,2.713202810866732761e-01
4.355456348076513495e-01,-3.203771399284960353e-01,8.091724384939880110e-01,1.996713320551180004e+00,8.398042020019147458e-01,1.515088193571045849e-01,1.693918127898541570e-01,1.895505995719304337e-01,2.131763000079445192e-01,2.402632395615000860e-01,2.725869380526546593e-01
4.674398357008097138e-01,-3.181489979908747046e-01,8.089394010823980352e-01,1.962224985589955395e+00,8.411777436378997663e-01,1.535463984225771128e-01,1.711197634790551092e-01,1.910512608560566150e-01,2.144982663310202042e-01,2.414699621056115575e-01,2.737322920154383610e-01
4.972926703662542414e-01,-3.169596899965654302e-01,8.086472043089543149e-01,1.928546130045560858e+00,8.411848180855940882e-01,1.547102816346068721e-01,1.718266662464884575e-01,1.913959505372986314e-01,2.145729501989990240e-01,2.413649363575132156e-01,2.735084801486209471e-01
5.254521862167860213e-01,-3.165331132493065525e-01,8.082593772940072085e-01,1.894794836374558145e+00,8.412980275807058206e-01,1.566192115376452421e-01,1.730796336119055923e-01,1.921453743136680714e-01,2.149175411148007697e-01,2.414231569503044739e-01,2.733788787168123235e-01
5.521775076911409341e-01,-3.160384198963583913e-01,8.077478592838360782e-01,1.859751520782992884e+00,8.435708481613346521e-01,1.614986778974980552e-01,1.771883738399537833e-01,1.955408723119944625e-01,2.177003730707838258e-01,2.437654828213453584e-01,2.754289917561436596e-01
5.776677245614472156e-01,-3.131369902575897868e-01,8.071787797803153808e-01,1.824822007137072433e+00,8.465056977513540915e-01,1.677242661912714539e-01,1.825268267907631525e-01,2.000130079693462903e-01,2.214391139432336786e-01,2.469140213179343846e-01,2.781624169756469200e-01
6.020797289396148111e-01,-3.124074308402668976e-01,8.062649490625517501e-01,1.791222940710213152e+00,8.473336802694575454e-01,1.727682352736792382e-01,1.863542516389316006e-01,2.028534447617857950e-01,2.233991000366586377e-01,2.480900212731285137e-01,2.787632490708347177e-01
6.255397669213365042e-01,-3.113606810245528322e-01,8.050450695407107560e-01,1.755502761398020084e+00,8.533840633617728599e-01,1.824421697449452040e-01,1.958792680056831159e-01,2.116183540579186229e-01,2.309602972161428625e-01,2.546910074840980087e-01,2.846664527567099867e-01
