x,beta_r_log,beta_theta_log,beta_z_log,full,c080,c082,c084,c086,c088,c090
1.300000000000000044e-01,-9.976150019497254107e-01,9.145195419080209831e-01,5.419362368286329001e+00,2.726977679117226216e+00,7.129594705190811510e-01,7.895108325328692445e-01,8.715947578252780659e-01,9.635632660831561225e-01,1.064702042867793352e+00,1.178442513491972932e+00
2.137755832643195020e-01,-9.982141713749115297e-01,9.155284230644156196e-01,5.307675399848221787e+00,2.727729524707456221e+00,7.102967859395903361e-01,7.869611256694497570e-01,8.691884652023418312e-01,9.613172366584876727e-01,1.062617338050131366e+00,1.176560045195174098e+00
2.729468812791235877e-01,-9.973100203808371589e-01,9.165514171627364703e-01,5.195306581669001389e+00,2.724358474921473316e+00,7.035072866301561589e-01,7.803010652196462615e-01,8.626694322799721704e-01,9.549564254029974109e-01,1.056433233515008396e+00,1.170555451608379371e+00
3.214031735997639472e-01,-9.984526545281369181e-01,9.175294572116854397e-01,5.081284412540298945e+00,2.717409630008660315e+00,6.931023013123649434e-01,7.700382103337233275e-01,8.525494334321592760e-01,9.449788552728932700e-01,1.046637479333867304e+00,1.160952379279933666e+00
3.634556369077249771e-01,-9.985577936788558873e-01,9.185488356422411016e-01,4.968710046142632564e+00,2.705025451490428168e+00,6.772770646534809202e-01,7.543389077113715757e-01,8.369891421011743660e-01,9.295807628006969026e-01,1.031399632154261781e+00,1.145926570558231106e+00
4.011234224026315465e-01,-9.986318418953032960e-01,9.195488827629105799e-01,4.855140905135613139e+00,2.689015672245886890e+00,6.578138912516351411e-01,7.350172413111977221e-01,8.178059475483223650e-01,9.105533713693603204e-01,1.012562135684902387e+00,1.127257518618307586e+00
4.355456348076513495e-01,-9.986822868768285844e-01,9.205602003703461378e-01,4.740689412869869557e+00,2.669591525261694187e+00,6.349382755388432997e-01,7.122679963345035503e-01,7.952010919609620032e-01,8.881140803396192496e-01,9.902890850810308621e-01,1.105193557577877073e+00
4.674398357008097138e-01,-9.969464424841589789e-01,9.215823243380327767e-01,4.626608497915185580e+00,2.646249763387231724e+00,6.081681834757546312e-01,6.856329326865306939e-01,7.686937024686812947e-01,8.617730352966646024e-01,9.641204030685912585e-01,1.079219553474786153e+00
4.972926703662542414e-01,-9.968306507346369472e-01,9.226127184547294746e-01,4.512994869401154574e+00,2.615795360156880633e+00,5.742523434548729711e-01,6.518583764147933834e-01,7.350679172191121324e-01,8.282827187144903291e-01,9.308134137597789959e-01,1.046109245095294682e+00
5.254521862167860213e-01,-9.979491460399003699e-01,9.236185383088013623e-01,4.399023481056474338e+00,2.581568972459535871e+00,5.366298772457867017e-01,6.142542294185204810e-01,6.976365715161136904e-01,7.910596927729329764e-01,8.937471697834098450e-01,1.009225481851672157e+00
