x,beta_r_log,beta_theta_log,beta_z_log,inner,expanded
1.431782106327635362e-01,-9.979855120434422133e-01,9.146659215275576571e-01,5.406784611494686033e+00,1.308276253126905431e+00,2.045169262601120863e+00
2.376972864800942498e-01,-9.973892774439718778e-01,9.159185053420060285e-01,5.265422773561567737e+00,1.305344338220493228e+00,2.043798476023539479e+00
3.041381265149110114e-01,-9.979459217390740378e-01,9.171851009170950420e-01,5.125538863381962074e+00,1.294676633989411130e+00,2.034716845003003982e+00
3.584689665786984780e-01,-9.985230613551721035e-01,9.184115620541888347e-01,4.982099016217489407e+00,1.279708854013961172e+00,2.021312761542048975e+00
4.055859958134649390e-01,-9.986677274298472184e-01,9.196818857049038343e-01,4.841817965086647746e+00,1.255078707060874876e+00,1.998258965727472969e+00
4.477722635447622390e-01,-9.978849193714722787e-01,9.209628309747586172e-01,4.700132894015496277e+00,1.224819560832202114e+00,1.969570762696548627e+00
4.863126566315131294e-01,-9.979168787310754851e-01,9.222272238673667744e-01,4.557051009186352530e+00,1.188560776341773817e+00,1.934885176666512052e+00
5.220153254455275338e-01,-9.979216430622273037e-01,9.234892040410613845e-01,4.413871583892614581e+00,1.145975092526896333e+00,1.893892020490284267e+00
5.554277630799526744e-01,-9.990003233895095036e-01,9.247344056007023028e-01,4.268931758986127534e+00,1.098013237168515843e+00,1.847510137906738237e+00
5.869412236331675858e-01,-9.989863565351697616e-01,9.259957114693406766e-01,4.123145977104059057e+00,1.045411631395154473e+00,1.796507215630072096e+00
6.168468205316454123e-01,-9.966601540156716510e-01,9.272786130054555542e-01,3.978196531306821271e+00,9.863383645836165670e-01,1.739032862957401449e+00
6.453681120105021485e-01,-9.964906185189192911e-01,9.285506550327227160e-01,3.833892724429688315e+00,9.145016092304558697e-01,1.668774037995035542e+00
6.726812023536855589e-01,-9.979872720577986911e-01,9.297714079536945064e-01,3.689059779929948490e+00,8.386758999279209092e-01,1.594627447332186421e+00
6.989277502002620990e-01,-9.992104058653694665e-01,9.309513474420327839e-01,3.540121599030499056e+00,7.653443404365134484e-01,1.522329722689619302e+00
7.242237223399962120e-01,-9.963799016077246051e-01,9.321570719578176067e-01,3.394148940998320541e+00,6.796603901193520869e-01,1.437243245163699612e+00
7.486654793697916643e-01,-9.980385844698957953e-01,9.329803684465787228e-01,3.248686812611367714e+00,5.835179270263779472e-01,1.341530763028231377e+00
7.723341245859851600e-01,-9.990490036670962581e-01,9.335935841647824418e-01,3.098255131135374540e+00,5.092796145333977620e-01,1.259269311617572384e+00
7.952986860293432825e-01,-9.947133790433326794e-01,9.331458144856696890e-01,2.951795266739054568e+00,4.225162238924440317e-01,1.158714104008140566e+00
8.176184929415429847e-01,-9.951075942637999106e-01,9.296910431544347375e-01,2.798769419882773946e+00,3.469304617453872197e-01,1.072233643384379320e+00
8.393449827097317906e-01,-9.829810566941432626e-01,9.282591935289019602e-01,2.635868712275168946e+00,2.843051744605418207e-01,9.890119936528662947e-01
8.605230967266362940e-01,-9.604080011627047497e-01,8.941189842914809560e-01,2.459115004143086480e+00,4.077216446773945790e-01,9.464222232224983600e-01
8.811923740024081297e-01,-9.234078233077980258e-01,8.977062741166719206e-01,2.218864210874471610e+00,-7.238309066792680824e-02,7.969180293798672210e-01
9.013878188659972812e-01,-8.517298552135343925e-01,7.630735434815960616e-01,1.830389369388285559e+00,-7.619708676998016017e-01,6.963071967902578763e-01
9.211405973031477901e-01,-6.577752765224431641e-01,6.306556139179519960e-01,1.220003333770591780e+00,-2.194438605300774725e+00,2.831121733493091597e-01
9.404786015641184438e-01,-3.108435265630760114e-01,3.459852740661517601e-01,9.869050330735262833e-02,2.008449727952665853e+00,-5.582583779073502228e-01
