x,beta_r_log,beta_theta_log,beta_z_log,full,rel_-0.10,rel_-0.08,rel_-0.06,rel_-0.04,rel_-0.02,rel_+0.00
1.300000000000000044e-01,-1.641961511751333092e+00,1.323293025592420236e+00,5.880324767701949895e+00,2.727946194625019416e+00,5.482689333291546063e-01,6.106556973861643201e-01,6.775128585445600038e-01,7.509208883504925325e-01,8.291867355580961885e-01,9.147885000970745750e-01
2.137755832643195020e-01,-1.642595491517795381e+00,1.325007244048492794e+00,5.771290557703423474e+00,2.728548930690521956e+00,5.451634854125586571e-01,6.076610138450178056e-01,6.746362903697900038e-01,7.481646215978798864e-01,8.265651293015707779e-01,9.123163444257897936e-01
2.729468812791235877e-01,-1.644138930032568169e+00,1.326698392176695052e+00,5.659703074343269691e+00,2.725464459700788211e+00,5.383410234571783803e-01,6.009547777807711100e-01,6.680293546423854423e-01,7.416874717591781518e-01,8.202207308727338386e-01,9.061160268686307973e-01
3.214031735997639472e-01,-1.644367593058859711e+00,1.328418949242404778e+00,5.549780243683244407e+00,2.717200914332806860e+00,5.263847187109149672e-01,5.890773174144214863e-01,6.563022709826782375e-01,7.300587411407377658e-01,8.087357723240984342e-01,8.947675762271956046e-01
3.634556369077249771e-01,-1.644108469349703228e+00,1.330125539880100405e+00,5.437963364016695778e+00,2.705932208755257307e+00,5.113772179754505487e-01,5.741827268934684980e-01,6.415129581682776916e-01,7.154035434098204860e-01,7.942087775347772549e-01,8.803921345190701686e-01
4.011234224026315465e-01,-1.644877149828971596e+00,1.331834809406018394e+00,5.326190059378177466e+00,2.690248648207216320e+00,4.919630612221226329e-01,5.548848746173007385e-01,6.223161872753735224e-01,6.963419964733930101e-01,7.752813276340475568e-01,8.616240339165415207e-01
4.355456348076513495e-01,-1.645637670719679591e+00,1.333546976098887171e+00,5.214526880337189141e+00,2.669857556014676447e+00,4.678341385044859635e-01,5.308690050753739342e-01,5.984209354892300325e-01,6.725740358604070934e-01,7.516472082613745442e-01,8.381239469201773318e-01
4.674398357008097138e-01,-1.646373012675894643e+00,1.335270653726183809e+00,5.102926714073419134e+00,2.644656110817322769e+00,4.388574910763054504e-01,5.020372110209336824e-01,5.696958753276248899e-01,6.439727674489859055e-01,7.231905559024198737e-01,8.098158212987982552e-01
4.972926703662542414e-01,-1.648769500945945765e+00,1.336983225428411970e+00,4.990806662306113139e+00,2.615170042759018543e+00,4.057150697178713017e-01,4.688746008696398349e-01,5.366506734105769283e-01,6.110743260023809853e-01,6.904246799877000740e-01,7.772061171351651865e-01
5.254521862167860213e-01,-1.651051474027553922e+00,1.338681590965506985e+00,4.878076754408766647e+00,2.582849413101939717e+00,3.695460974029174395e-01,4.329579320483389893e-01,5.008551174512376747e-01,5.753206430370028102e-01,6.548083965185469424e-01,7.417530819964213151e-01
