x,finite_constitutive_shift_Pa,interface_025_shift_Pa,interface_032_shift_Pa
1.300000000000000044e-01,2.093030545878718840e+00,1.759017824550824116e+00,2.223438027295316033e+00
2.137755832643195020e-01,2.094468364455224219e+00,1.733888991910987443e+00,2.192183811324412090e+00
2.729468812791235877e-01,2.093001810387150385e+00,1.708790454381698964e+00,2.160980705843698502e+00
3.214031735997639472e-01,2.087658616028718939e+00,1.684041555491958775e+00,2.130206484280407153e+00
3.634556369077249771e-01,2.079625999800455816e+00,1.658940331426109083e+00,2.098995421879294554e+00
4.011234224026315465e-01,2.069029848311458863e+00,1.633523735487273143e+00,2.067393133403783168e+00
4.355456348076513495e-01,2.056202699360071051e+00,1.607896346401489041e+00,2.035529472774030069e+00
4.674398357008097138e-01,2.040102813876401910e+00,1.582172175550155657e+00,2.003527747365154710e+00
4.972926703662542414e-01,2.017969966491335754e+00,1.557085254766491289e+00,1.972336590786099464e+00
5.254521862167860213e-01,1.995243469532454128e+00,1.531982682987475641e+00,1.941152405113385271e+00
5.521775076911409341e-01,1.973543540233151816e+00,1.505497901761373214e+00,1.908204423972506447e+00
5.776677245614472156e-01,1.940368335864292249e+00,1.480339203294164463e+00,1.876927094411243502e+00
6.020797289396148111e-01,1.911160246490652526e+00,1.454722580659350228e+00,1.845111145456002077e+00
6.255397669213365042e-01,1.877096117034511735e+00,1.428500466778004352e+00,1.812490040748485853e+00
6.481512169239520560e-01,1.838012733072105220e+00,1.403395328812123921e+00,1.781314438019634849e+00
6.699999999999999289e-01,1.802044153097625667e+00,1.376569920879148867e+00,1.747944144390913834e+00
6.911584478250989427e-01,1.754404659317529536e+00,1.351542374659075563e+00,1.716840695911812986e+00
7.116881339463233536e-01,1.714938783470216777e+00,1.324490915295569948e+00,1.683220662153956937e+00
7.316419889536137644e-01,1.660522697584596585e+00,1.299464872743072874e+00,1.652155323842478651e+00
7.510659092250159263e-01,1.616253603956394613e+00,1.272250044511963551e+00,1.618307096889765262e+00
7.699999999999999067e-01,1.561225122745327099e+00,1.246637770099582099e+00,1.586523943310368168e+00
7.884795495128582576e-01,1.510527129953700864e+00,1.219363197533681387e+00,1.552601251750473921e+00
8.065358020571684605e-01,1.462243747598463983e+00,1.191974886500204889e+00,1.518606906439416093e+00
8.241965784932621109e-01,1.404225547363012083e+00,1.163448088207488240e+00,1.483100906829022847e+00
8.414867794564570014e-01,1.371086789709238474e+00,1.129680433396714534e+00,1.441002918796584709e+00
