x,single_zero_scaled_Pa,double_zero_scaled_Pa
1.300000000000000044e-01,2.117498488587443717e+00,1.362459150300310284e+00
2.137755832643195020e-01,2.118978503631296917e+00,1.364779359676049353e+00
2.729468812791235877e-01,2.117545060400516377e+00,1.367007746750914521e+00
3.214031735997639472e-01,2.112194672747591540e+00,1.369060518641163071e+00
3.634556369077249771e-01,2.104202799557697290e+00,1.370815350014709111e+00
4.011234224026315465e-01,2.093689470257231733e+00,1.372112305944028776e+00
4.355456348076513495e-01,2.080854084454131225e+00,1.372920525284371251e+00
4.674398357008097138e-01,2.064736718523363379e+00,1.372986312446755619e+00
4.972926703662542414e-01,2.042615054449470335e+00,1.370817209647157142e+00
5.254521862167860213e-01,2.019807070610113442e+00,1.367731606194411142e+00
5.521775076911409341e-01,1.998125078159773693e+00,1.364900065254914807e+00
5.776677245614472156e-01,1.964866391119812761e+00,1.355073698050546227e+00
6.020797289396148111e-01,1.935551235305865703e+00,1.346435141158508486e+00
6.255397669213365042e-01,1.901471694054635009e+00,1.333848144895455334e+00
6.481512169239520560e-01,1.862220788950708084e+00,1.314572730279905954e+00
6.699999999999999289e-01,1.826240734601469740e+00,1.298096645143687056e+00
6.911584478250989427e-01,1.778239538055004232e+00,1.265250370181547623e+00
7.116881339463233536e-01,1.738818916976470064e+00,1.242363788662714796e+00
7.316419889536137644e-01,1.683990859362438641e+00,1.193731179398582753e+00
7.510659092250159263e-01,1.639642599116086785e+00,1.159463658950699028e+00
7.699999999999999067e-01,1.584123954785354726e+00,1.096785117056242598e+00
7.884795495128582576e-01,1.533286346955264889e+00,1.041342586631799350e+00
8.065358020571684605e-01,1.484522385624131857e+00,9.725643411684359307e-01
8.241965784932621109e-01,1.425991570727092039e+00,8.800949876786035020e-01
8.414867794564570014e-01,1.393003219050115149e+00,8.230722812641033670e-01
