x,beta_r_log,beta_theta_log,beta_z_log,constitutive_Q1
1.300000000000000044e-01,-2.352179053701775047e+00,8.132268385452334769e-01,1.304464914710479206e+01,8.174906702720363683e+00
2.137755832643195020e-01,-2.366628696535144627e+00,8.181849122479434300e-01,1.276313424156683141e+01,8.199596646250029153e+00
2.729468812791235877e-01,-2.378707383314804247e+00,8.231792732260601042e-01,1.247794782230471355e+01,8.202400905048534696e+00
3.214031735997639472e-01,-2.394175833586587032e+00,8.281532478804365383e-01,1.218938930605872883e+01,8.184026384583376057e+00
3.634556369077249771e-01,-2.407901656198419005e+00,8.331643482506478904e-01,1.190101884432692714e+01,8.141972350301784900e+00
4.011234224026315465e-01,-2.421689514164881984e+00,8.381909164256740041e-01,1.160919840629048849e+01,8.078280272343363322e+00
4.355456348076513495e-01,-2.435541031502452824e+00,8.432459644325263071e-01,1.131404124535606570e+01,7.993048838415006685e+00
4.674398357008097138e-01,-2.446495105488111221e+00,8.483155997396352177e-01,1.101675946515001669e+01,7.886441849791481218e+00
4.972926703662542414e-01,-2.460168352911296097e+00,8.534031354656690382e-01,1.071934914861571997e+01,7.752528961901816729e+00
5.254521862167860213e-01,-2.475978145213275639e+00,8.584990455062779802e-01,1.042044206542414031e+01,7.597088935256124387e+00
5.521775076911409341e-01,-2.491227125744899240e+00,8.635972258730362228e-01,1.011527356197916561e+01,7.422242160544101353e+00
5.776677245614472156e-01,-2.501743502847375566e+00,8.687623339653782750e-01,9.806968650281078226e+00,7.227007370431692834e+00
6.020797289396148111e-01,-2.517989652517371724e+00,8.738854360501591145e-01,9.501961719848850407e+00,6.998792889874039247e+00
6.255397669213365042e-01,-2.533463486571463363e+00,8.790624065113661345e-01,9.189162965412833728e+00,6.756785495696249200e+00
6.481512169239520560e-01,-2.543730596045179482e+00,8.842792668417587265e-01,8.874850808666678859e+00,6.489747433988668490e+00
6.699999999999999289e-01,-2.561792735491508211e+00,8.894326155939324963e-01,8.563786465600742304e+00,6.192767079085115256e+00
6.911584478250989427e-01,-2.572025368436925419e+00,8.947251662050348386e-01,8.239050665963532083e+00,5.891578930743435194e+00
7.116881339463233536e-01,-2.589167761755106767e+00,8.999200183268385445e-01,7.922965621673938585e+00,5.539403505423479146e+00
7.316419889536137644e-01,-2.604691764673816579e+00,9.051922076253049454e-01,7.593899889002386772e+00,5.195926896703895181e+00
7.510659092250159263e-01,-2.617894603531567554e+00,9.105046892443624529e-01,7.272415006127630477e+00,4.793309509381060707e+00
7.699999999999999067e-01,-2.633499689181917347e+00,9.157978210794226470e-01,6.938983947293309029e+00,4.404105388147172562e+00
7.884795495128582576e-01,-2.646986980607834994e+00,9.209319148340000538e-01,6.612428315975193982e+00,3.951593203481706951e+00
8.065358020571684605e-01,-2.662548500609318580e+00,9.263005526349843421e-01,6.272788990600020043e+00,3.522850791171094897e+00
8.241965784932621109e-01,-2.675590769030122829e+00,9.319880960845239315e-01,5.941666758957353522e+00,3.014220681478718689e+00
8.414867794564570014e-01,-2.686908305662427665e+00,9.378721593122918421e-01,5.596249848167644814e+00,2.545069728654425489e+00
